Name,A,B,C,D
GT2_Glycos_transf_2,8.598958718,8.960891696,8.805417081,8.420726258
GH2,5.531469068,5.03088893,5.862133457,6.227900057
GT4,4.083790676,4.297967524,4.561367173,4.82212305
GT41,4.048353963,4.453191065,3.953039235,3.900365572
CE1,4.147023322,3.785961067,3.924673101,3.90373564
CE10,3.629591006,3.470271383,3.546570257,3.452428234
GH3,2.336329739,2.245106109,2.240009017,2.184709534
GH31,1.850190696,2.053195346,1.888215586,1.923861361
GH97,1.642596672,1.571722991,1.954792978,2.178726875
GH78,1.610070711,1.436865107,1.655865288,1.606152251
GH92,1.298887739,1.147864286,1.50502617,1.449783506
GH28,1.22994089,1.134528981,1.338802328,1.432461515
GH77,1.332588258,1.212702608,1.206996813,1.181114702
GH106,1.123182678,1.054269139,1.284976297,1.365275443
GH13,1.158647021,1.096753694,1.153204915,1.111893065
AA6,1.34584528,0.96296392,1.114177625,1.094981078
GH51,1.049122042,0.939006062,1.154922287,1.224891136
GH95,0.978899688,0.929011776,1.173506191,1.262361022
GT35,1.271026032,1.216938087,0.951963939,0.871048578
GH20,1.009659763,0.900780159,1.206898299,1.185401943
GH29,0.914337693,0.838327054,1.06892201,1.081654793
GH25,1.041164224,1.075178907,0.893377647,0.840826579
GT5,1.079809884,0.955962762,0.865899781,0.885904312
GH36,1.051038936,0.763421711,0.863415647,0.835075993
GH5_4,0.713818937,1.295450704,0.704493749,0.691263935
GT2_Glyco_tranf_2_3,0.813290561,0.776532581,0.89590555,0.912075128
CE7,0.878658365,0.888938817,0.819846607,0.785649053
GH109,0.834979696,0.722128025,0.920727097,0.844625594
CE3,0.818740631,0.723744337,0.842571989,0.776352405
GH23,0.7371164,0.681836492,0.842810222,0.861076584
CE4,0.830544471,0.6821533,0.792286149,0.781178646
GH10,0.654522766,0.771114188,0.73572199,0.844913027
GH94,0.881317829,0.727505714,0.664693532,0.704305335
GH115,0.622024241,0.624435689,0.787651415,0.90931171
GT8,0.58271785,1.257354006,0.605835013,0.397253415
GH32,0.799052697,0.628840917,0.698516887,0.706744205
GH26,0.630633959,0.708138849,0.731041438,0.71885741
GH43_10,0.630369832,0.598684392,0.742065596,0.813935217
GH53,0.611216076,0.5815954,0.674069874,0.703848501
GH127,0.596371728,0.541734495,0.694764853,0.706435913
GH9,0.605837364,0.746309666,0.556141146,0.557263761
GH105,0.598267267,0.555432098,0.625414497,0.679677666
GT28,0.672406693,0.542383309,0.639697925,0.601796008
CE8,0.572960984,0.593368347,0.596029384,0.671429357
GT51,0.595976869,0.493306864,0.589160174,0.606215223
GT19,0.52469509,0.486042439,0.621485391,0.625701273
CE2,0.624391079,0.548597469,0.521391531,0.524758109
GT83,0.592850382,0.463696917,0.523834147,0.53251435
CE12,0.491928324,0.475063886,0.524663059,0.57779164
GT9,0.479785667,0.446293685,0.552555658,0.538117762
GH73,0.498326475,0.455020847,0.531220322,0.526432044
CE9,0.558337316,0.405333693,0.479001302,0.469111731
GH16,0.438571823,0.506961158,0.499345898,0.453087846
GH33,0.453284731,0.415855102,0.522622174,0.480338545
GH146,0.400857341,0.337164453,0.431486994,0.483469892
GH13_8,0.39181727,0.458048635,0.377121492,0.360122393
GH35,0.331413464,0.331740197,0.404350528,0.465577986
CBM32,0.359143314,0.401902278,0.384556518,0.383337165
GT3,0.352413759,0.334169558,0.423870404,0.416613883
GH13_38,0.354239109,0.336541308,0.40810496,0.414905144
GH133,0.347602126,0.323805238,0.412689889,0.420915623
GH18,0.390502837,0.44839433,0.354364982,0.30638807
GH43_35,0.346636445,0.330946538,0.361285874,0.414421179
GH43_29,0.322818493,0.326100398,0.37074853,0.428391114
PL11_1,0.339922522,0.280816047,0.38974734,0.423002047
CE15,0.325618728,0.299801894,0.386013568,0.387333955
GH13_14,0.372649385,0.307658235,0.322319421,0.332958634
GH130,0.323909577,0.274230459,0.353794427,0.316887792
GH13_36,0.382526306,0.281168817,0.305103769,0.297545792
GH43_4,0.277617763,0.348127814,0.297029507,0.316713039
CE11,0.290326351,0.259684362,0.342951819,0.344983171
GH89,0.268961175,0.326862589,0.317324445,0.319545872
GH27,0.307726863,0.329004122,0.308712928,0.280828993
CBM67,0.304164943,0.307188508,0.306434811,0.291358357
GT30,0.261523426,0.255977548,0.32380673,0.350522048
PL9,0.322418453,0.503229621,0.196621636,0.167997735
GH13_9,0.41074936,0.262851002,0.265556256,0.23072226
GH13_1,0.250719191,0.769446904,0.125126329,0.013624524
AA3,0.358965253,0.243060452,0.270546586,0.241057573
PL1_2,0.247747167,0.222375436,0.302117889,0.322224073
GH57,0.263680434,0.232571306,0.289832557,0.303664927
GH67,0.239396992,0.223055532,0.274688618,0.333233609
GT92,0.195116087,0.669028817,0.139820574,0.065350158
GH76,0.244841728,0.273664208,0.280611402,0.259141833
GH163,0.248235437,0.212880072,0.308990958,0.285858687
GH13_6,0.23286037,0.235069474,0.285677573,0.286788897
GH13_31,0.395654632,0.208594763,0.224424163,0.185821498
GH1,0.389357339,0.220636957,0.208234189,0.195404913
GT11,0.210084751,0.254478713,0.253722396,0.285923405
GH43_2,0.216029957,0.221565363,0.272270816,0.281270251
PL1,0.21579755,0.298335052,0.213159741,0.244929427
CBM48,0.264696514,0.219945765,0.233569168,0.238044253
GH141,0.182907267,0.233175495,0.256093485,0.26667986
GH5_7,0.191133006,0.18365149,0.239885052,0.245703992
GH13_20,0.265980079,0.199151704,0.167719593,0.175203287
GH13_32,0.180319529,0.507758358,0.08484512,0.012257222
GT66,0.259545713,0.201039517,0.169776293,0.132359584
GH39,0.175159146,0.198898265,0.183575334,0.174976145
GH154,0.216031135,0.165825076,0.178067956,0.162473608
GH99,0.160665438,0.206047167,0.177909612,0.161248906
GH13_39,0.258005365,0.152554569,0.157292647,0.137721899
GH125,0.176562731,0.187645919,0.180427045,0.154609489
GH43_5,0.148423287,0.145915743,0.186760395,0.212816443
CBM13,0.172812537,0.277799063,0.113551043,0.124232914
CE6,0.157229346,0.221496124,0.142435954,0.158346443
GT94,0.153575191,0.139167107,0.181153878,0.164984338
PL22,0.144939806,0.139141881,0.164493048,0.188354851
GH43_7,0.135976874,0.134482399,0.165293446,0.192072476
GH43_12,0.167399328,0.136836486,0.150849996,0.170224711
CE14,0.175767432,0.140166353,0.146743034,0.15229536
GH8,0.147978981,0.121787435,0.147938357,0.187955821
GT27,0.15320777,0.16661606,0.140251913,0.140976917
GH43_34,0.140994842,0.115548598,0.164789691,0.172509499
AA5,0.132306997,0.19671502,0.130950082,0.128203055
GH13_11,0.200223647,0.117150383,0.131743381,0.135037036
CBM9,0.163410856,0.113001624,0.162229903,0.131103549
CBM66,0.145767556,0.114909706,0.16054738,0.147126532
CBM6,0.130650226,0.119976341,0.135555518,0.17355479
GT32,0.123914287,0.127185621,0.149393085,0.157970956
GH43_19,0.120295893,0.12920785,0.141242283,0.162262108
GH5,0.116403367,0.13696665,0.143798207,0.142005767
GH43_1,0.123495132,0.131493648,0.125333543,0.143512714
GH143,0.099668404,0.112820239,0.14426516,0.166119694
GH24,0.142240622,0.173645548,0.106891831,0.09658926
CBM61,0.127825823,0.107667621,0.132367374,0.151035562
GH74,0.116059433,0.149860238,0.119426135,0.12937251
GT26,0.131623929,0.107542419,0.136002157,0.136595605
CBM56,0.117596764,0.104953888,0.131626699,0.155415835
GH13_4,0.189847847,0.097982292,0.109410137,0.10145998
GT2_Glyco_trans_2_3,0.130943652,0.105397084,0.123318294,0.138591335
GT10,0.089998385,0.264990002,0.08178906,0.052504835
CBM20,0.106375033,0.204644523,0.082890674,0.08587219
GH5_21,0.091693693,0.10959909,0.130093116,0.145335355
GH63,0.1191881,0.101307357,0.139122601,0.115757987
GT2_Glyco_tranf_2_4,0.120697852,0.135932018,0.124119689,0.094119852
GH140,0.112454369,0.104397787,0.115239009,0.131617247
GH42,0.152784932,0.101365734,0.098223174,0.099106457
GH119,0.106402518,0.092726261,0.113428064,0.136951569
CBM50,0.138708294,0.092074985,0.104693091,0.103655106
GT20,0.081184744,0.317891727,0.035899857,0.004140682
GT81,0.152349531,0.100901369,0.105973225,0.079815135
GT1,0.144675004,0.127462979,0.086899634,0.07711543
CBM4,0.111560493,0.086065044,0.102072113,0.127334695
GH5_38,0.093445689,0.091595011,0.112758782,0.128952608
GT87,0.094629838,0.079967166,0.121904396,0.128785629
GH88,0.112523273,0.095984768,0.106986728,0.109114978
GH5_2,0.099995612,0.099819477,0.107921966,0.110729291
PL10_1,0.092384707,0.080987663,0.114082554,0.126195269
GH84,0.104581089,0.133636596,0.103499271,0.063898856
CBM26,0.1329027,0.094599726,0.090969408,0.084143103
GH123,0.098443373,0.087147519,0.113804992,0.10177835
GH139,0.06968128,0.079155206,0.111885913,0.139537484
GT39,0.184188571,0.071811226,0.071121622,0.070064462
GH138,0.083811154,0.078977945,0.101432487,0.121588337
GH13_28,0.144714706,0.112294918,0.071255091,0.053900364
GH43_24,0.082498918,0.101865301,0.091014056,0.093308891
CBM35,0.089764509,0.090427985,0.092914413,0.094386516
PL6_1,0.102363775,0.090877487,0.092139769,0.075710358
GT69,0.049416701,0.233138081,0.044449257,0.021479932
GH43_16,0.091451868,0.125585154,0.059286981,0.069221841
GT90,0.06668268,0.069391274,0.096085254,0.109137526
PL9_1,0.071348301,0.095251869,0.082294238,0.092276584
GT14,0.073300114,0.071146352,0.096549806,0.095152661
GT13,0.064098699,0.08027118,0.08452334,0.10564308
GH30_8,0.077436928,0.109896312,0.061237966,0.083543721
GH38,0.084977952,0.111792932,0.071576417,0.053838205
GH4,0.111900319,0.074035086,0.068792933,0.0673156
AA4,0.099768218,0.072729475,0.082323698,0.065154278
GH43_28,0.102136874,0.064139854,0.07455432,0.07656928
GT23,0.066067594,0.122464142,0.073052095,0.054083708
GH50,0.062564404,0.063122835,0.101130061,0.087919326
GH45,0.073106973,0.221988459,0.012424713,0.003407698
PL26,0.075521559,0.06619092,0.077392414,0.089783282
GH43_17,0.080618232,0.064993504,0.086561191,0.075321824
GH30_3,0.082253124,0.058267784,0.087499927,0.075260182
PL3_2,0.051384588,0.233685254,0.013829306,0.000569869
PL32,0.057309596,0.063134539,0.073824649,0.099617391
GH43_3,0.066777398,0.101084803,0.068126763,0.046923835
PL11,0.07290801,0.053867111,0.071114394,0.081446989
GH156,0.060041622,0.051952944,0.075822062,0.081437816
GH13_42,0.095214802,0.067195234,0.055451541,0.046470141
GH93,0.057543557,0.116150256,0.050519108,0.037274011
GH5_46,0.059744741,0.047118867,0.075598488,0.078958839
GH43,0.063036935,0.062892235,0.066985147,0.068430323
PL9_2,0.067381131,0.077350645,0.055384991,0.054759948
CBM57,0.047307755,0.136365157,0.036877587,0.02424494
GH30_5,0.056969773,0.085100344,0.052467264,0.046628081
SLH,0.085374468,0.040706991,0.053867698,0.054636085
AA7,0.064501766,0.049106546,0.05629989,0.061798819
CBM37,0.074829462,0.048676013,0.04910901,0.047761288
AA3_1,0.06685909,0.051835943,0.049830494,0.047600451
GH13_7,0.053322041,0.047696704,0.051495897,0.058465118
CBM74,0.066760789,0.105356954,0.025539025,0.012694767
GH65,0.07098209,0.042573122,0.048020268,0.044189924
GH13_5,0.095929867,0.045862056,0.035600479,0.026512865
CBM16,0.053645337,0.042558059,0.048107383,0.056630149
GH142,0.046870459,0.04189384,0.054915904,0.05529502
GH5_37,0.075298638,0.040747518,0.040405431,0.041803867
GT2_Glyco_tranf_2_5,0.059186427,0.041635199,0.057341505,0.039924819
GH148,0.038993314,0.04956931,0.054395095,0.049322678
GH55,0.04708116,0.059045882,0.041886263,0.035626691
GH5_13,0.042156919,0.041772536,0.046800261,0.050345977
GH66,0.045958097,0.040092236,0.05059061,0.044225771
PL6,0.054546368,0.070587244,0.035496461,0.019663737
GH144,0.043575486,0.048801397,0.043745073,0.043614822
GT17,0.03250192,0.091170149,0.037669338,0.016892444
GH124,0.059675885,0.051476626,0.035341408,0.030157454
GH11,0.040512515,0.100647462,0.021048209,0.014084341
GH5_26,0.046138971,0.035178615,0.049005356,0.040519678
CBM40,0.040557137,0.036320782,0.045103296,0.045277563
GH87,0.037934577,0.08966861,0.023374398,0.010374006
GH137,0.036101851,0.032740031,0.042975192,0.049244772
GH128,0.042556713,0.039452272,0.040150073,0.038682534
CBM62,0.0309517,0.070558546,0.031593118,0.027654924
GH13_19,0.058479689,0.038313631,0.035473373,0.028373394
GT2_Glyco_tranf_2_2,0.042219491,0.049018767,0.037274449,0.031160012
CE13,0.053569978,0.039771382,0.032419689,0.033293246
PL29,0.022046476,0.054832392,0.036358038,0.043898997
GH13_29,0.06052104,0.033494865,0.04031634,0.022671305
CBM34,0.053296891,0.03504762,0.037481108,0.031061715
CBM22,0.039928576,0.038985858,0.033344548,0.044333088
GH5_1,0.039175994,0.090356028,0.014368849,0.011562781
CBM79,0.03198062,0.110297662,0.005684785,0.000389669
GH5_27,0.029694331,0.105309216,0.012068425,0.000968467
GH110,0.030255916,0.030860507,0.0443117,0.041749834
GT76,0.045308372,0.044561779,0.027113278,0.02874709
GT101,0.028673625,0.08096835,0.022314187,0.012509281
GH129,0.033651864,0.026635061,0.043612203,0.03714079
GT22,0.026174492,0.026402621,0.040537581,0.047279702
GT25,0.0320534,0.034914303,0.033447648,0.035678928
GH98,0.028207932,0.02782938,0.0324085,0.042062471
GH165,0.029258377,0.028762149,0.038105085,0.033663374
PL31,0.03077422,0.064584298,0.020394113,0.012230447
GH43_9,0.027008698,0.025365577,0.037041966,0.037734191
GH30_4,0.029261379,0.021579998,0.031697381,0.044136527
GH43_18,0.026365144,0.024376905,0.034997783,0.039869434
GH136,0.030800535,0.02725206,0.036154872,0.030765066
GH43_26,0.038446642,0.027515476,0.031463649,0.025639877
GH108,0.04666606,0.0237642,0.031692904,0.020688281
GH30,0.026864282,0.02675139,0.030865558,0.032991846
GH43_31,0.026369647,0.022890713,0.035632506,0.030533228
CBM44,0.02716288,0.022647263,0.030696759,0.029959588
GH37,0.026376351,0.02537719,0.027884914,0.027486511
GH5_54,0.024736876,0.06239642,0.015207128,0.004771953
GH121,0.02311437,0.020943493,0.029487682,0.033513294
GH30_2,0.033767465,0.025057336,0.024639775,0.023455881
CBM51,0.028378755,0.022579613,0.027517004,0.027572368
GT21,0.024379975,0.02806204,0.02189804,0.029732328
GH13_25,0.018865816,0.073460061,0.007934828,0.000783114
PL4,0.023520114,0.019242375,0.02663677,0.031464353
CBM45,0.022704642,0.066172439,0.010255718,0.001315227
GH13_21,0.03838529,0.020382619,0.021710876,0.01961731
GH13_3,0.025336581,0.025010079,0.02410735,0.025473147
GH13_18,0.045715606,0.019715796,0.017918766,0.016399642
AA3_2,0.035319195,0.023967399,0.021545892,0.018644189
GH151,0.023412298,0.026116117,0.021646633,0.026965718
PL27,0.024966527,0.020729143,0.024861432,0.025736052
GH19,0.020565573,0.045828239,0.016628965,0.013215284
PL33_1,0.024244864,0.023176865,0.022538287,0.025213133
GH116,0.024096553,0.02061136,0.026486441,0.022856714
GH13_23,0.026022564,0.018910101,0.023088774,0.022358787
GH59,0.017880176,0.016621663,0.025519303,0.029792071
GH64,0.021671485,0.057146397,0.008300764,0.002555374
GT84,0.024672083,0.018582769,0.023003586,0.02284043
PL11_2,0.022147167,0.015382912,0.023979028,0.026704569
GT57,0.015541653,0.062074883,0.009202333,0.000979157
GH43_11,0.043026413,0.019369577,0.012450685,0.01038057
PL35,0.020343318,0.020588141,0.02334166,0.020870629
GH81,0.019197567,0.02422717,0.022045269,0.019525295
GH30_1,0.024527753,0.017137058,0.021838162,0.019171404
GH54,0.020603542,0.019602659,0.019015749,0.02284087
GH5_8,0.021185157,0.048607871,0.005731127,0.003942927
GT56,0.014353413,0.024609923,0.020244453,0.019692377
GH13_37,0.014587249,0.014470822,0.023370196,0.02525378
GH5_36,0.01261875,0.014776444,0.023600958,0.025392753
GH112,0.029084672,0.014071848,0.014515804,0.01366531
GH113,0.022806071,0.01543695,0.01559581,0.017484327
GH43_27,0.020191978,0.014119169,0.014827473,0.019847528
PL10_2,0.01456369,0.011387223,0.019364473,0.022027509
GT75,0.015246552,0.040872249,0.008175691,0.002382476
GT46,0.014806824,0.015162278,0.01967795,0.016974996
PL4_4,0.014584041,0.011794856,0.016643179,0.02200582
CBM72,0.013357327,0.015016673,0.015269443,0.019247788
GH13_24,0.013009359,0.04149547,0.007623668,0.000660159
GH85,0.013828679,0.013171322,0.020992265,0.014712011
PL9_3,0.012641558,0.038414403,0.007220979,0.003488724
GH13_10,0.018650298,0.014432202,0.015264531,0.011568364
GH43_33,0.01240974,0.012345902,0.019868497,0.014880108
CBM2,0.016524734,0.011090451,0.015893382,0.01572217
GH120,0.019556208,0.011910954,0.012657515,0.012917053
GH149,0.013497797,0.013061276,0.017754007,0.012355926
CBM77,0.012418354,0.013202409,0.013969894,0.016052365
GT2_Chitin_synth_2,0.014488242,0.013092238,0.014295205,0.012359129
GH114,0.020053981,0.010100493,0.013090097,0.010280125
PL22_2,0.012577775,0.009319382,0.015917472,0.015356187
GH43_37,0.011731449,0.022007774,0.009870146,0.008897064
GH5_44,0.026432081,0.012839683,0.006692846,0.005985452
AA11,0.010624761,0.033472484,0.006612297,0.000876843
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
